ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
1637,PE,Monitoring with Alarms / Notifications,PE-14.02.01.01,The organization employs temperature monitoring that provides an alarm of changes potentially harmful to personnel or equipment.,Read Control Step Content
1638,PE,Monitoring with Alarms / Notifications,PE-14.02.02.01,The organization employs temperature monitoring that provides notification of changes potentially harmful to personnel or equipment.,Read Control Step Content
1639,PE,Monitoring with Alarms / Notifications,PE-14.02.03.01,The organization employs humidity monitoring that provides an alarm of changes potentially harmful to personnel or equipment.,Read Control Step Content
1640,PE,Monitoring with Alarms / Notifications,PE-14.02.04.01,The organization employs humidity monitoring that provides notification of changes potentially harmful to personnel or equipment.,Read Control Step Content
1641,PE,Water Damage Protection ,PE-15.00.01.01,The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible.,Read Control Step Content
1642,PE,Water Damage Protection ,PE-15.00.02.01,The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are working properly.,Read Control Step Content
1643,PE,Water Damage Protection ,PE-15.00.03.01,The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are known to key personnel.,Read Control Step Content
1644,PE,Automation Support,PE-15.01.01.01,The organization defines personnel or roles to be alerted when the presence of water is detected in the vicinity of the information system as the Office of Security (OSY) and the Administrative and Customer Services Division (ACSD).,Read Control Step Content
1645,PE,Automation Support,PE-15.01.02.01,The organization employs automated mechanisms to detect the presence of water in the vicinity of the information system.,Read Control Step Content
1646,PE,Automation Support,PE-15.01.03.01,The organization alerts the Office of Security (OSY) and the Administrative and Customer Services Division (ACSD) when the presence of water is detected in the vicinity of the information system.,Read Control Step Content
1647,PE,Delivery and Removal ,PE-16.00.01.01,"The organization defines types of information system components to be authorized, monitored, and controlled as such components are entering and exiting the facility as information system hardware that is considered accountable property.",Read Control Step Content
1648,PE,Delivery and Removal ,PE-16.00.02.01,The organization authorizes information system hardware that is considered accountable property entering the facility.,Read Control Step Content
1649,PE,Delivery and Removal ,PE-16.00.03.01,The organization monitors information system hardware that is considered accountable property entering the facility.,Read Control Step Content
1650,PE,Delivery and Removal ,PE-16.00.04.01,The organization controls information system hardware that is considered accountable property entering the facility.,Read Control Step Content
