ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
527,IA,Identification and Authentication Policy and Procedures ,IA-01.00.03.01,"The organization defines the frequency to review and update the current identification and authentication policy as at least annually and as needed, respectively."
528,IA,Identification and Authentication Policy and Procedures ,IA-01.00.03.02,"The organization reviews and updates the current identification and authentication policy at least annually and as needed, respectively."
529,IA,Identification and Authentication Policy and Procedures ,IA-01.00.04.01,"The organization defines the frequency to review and update the current identification and authentication procedures as at least annually and as needed, respectively."
530,IA,Identification and Authentication Policy and Procedures ,IA-01.00.04.02,"The organization reviews and updates the current identification and authentication procedures at least annually and as needed, respectively."
531,IA,Identification and Authentication (Organizational Users),IA-02.00.01.01,The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
532,IA,Network Access to Privileged Accounts,IA-02.01.01.01,The information system uses multifactor authentication for network access to privileged accounts.
533,IA,Network Access to Non-Privileged Accounts,IA-02.02.01.01,The information system uses multifactor authentication for network access to non-privileged accounts.
534,IA,Local Access to Privileged Accounts,IA-02.03.01.01,The information system uses multifactor authentication for local access to privileged accounts.
535,IA,Network Access to Privileged Accounts - Replay Resistant,IA-02.08.01.01,The information system implements replay-resistant authentication mechanisms for network access to privileged accounts.
536,IA,Remote Access - Separate Device,IA-02.11.01.01,The information system implements multifactor authentication for remote access to privileged accounts such that one of the factors is provided by a device separate from the system gaining access.
537,IA,Remote Access - Separate Device,IA-02.11.02.01,The information system implements multifactor authentication for remote access to non-privileged accounts such that one of the factors is provided by a device separate from the system gaining access.
538,IA,Remote Access - Separate Device,IA-02.11.03.01,"The organization defines strength of mechanism requirements to be enforced by a device separate from the system gaining remote access to privileged accounts for Level 3 compliance, as required by IA-02.14.01.01."
